    agno    agbno      len
       0        6        1
       0        7        1
       0        8        1
       0        9        1
       0       10        5
       0  6052112    42736
       1        6        1
       1        7        1
       1        8        1
       1        9        1
       1  6046954    47894
       2    11910        1
       2    11911        1
       2    11912        1
       2    11913        1
       2  3911354  2183494
       3        6        1
       3        7        1
       3        8        1
       3        9        1
       3       10  6094838
   from      to extents  blocks    pct
      1 6094848      21 8368983 100.00
